channel_id,sequence,send_height,send_time,ack_height,ack_time,block_delay,fee_amount,fee_denom,time_delay_sec
channel-750,688677,30489821,2025-02-27 23:23:51.185121,30489834.0,2025-02-27 23:24:10.210259,13.0,,,19.025138
channel-750,688678,30490419,2025-02-27 23:36:30.461257,30490819.0,2025-02-27 23:44:52.776104,400.0,,,502.314847
channel-750,688679,30490461,2025-02-27 23:37:22.504795,30490476.0,2025-02-27 23:37:41.129166,15.0,,,18.624371
channel-750,688680,30490519,2025-02-27 23:38:33.729850,30490523.0,2025-02-27 23:38:38.122855,4.0,,,4.393005
channel-750,688681,30490551,2025-02-27 23:39:17.254627,30490561.0,2025-02-27 23:39:28.753957,10.0,,,11.49933
channel-750,688682,30490557,2025-02-27 23:39:24.149168,30490562.0,2025-02-27 23:39:30.930003,5.0,,,6.780835
channel-750,688683,30490583,2025-02-27 23:39:54.204453,30490597.0,2025-02-27 23:40:16.132411,14.0,,,21.927958
channel-750,688684,30490715,2025-02-27 23:42:44.846916,30490734.0,2025-02-27 23:43:07.341937,19.0,,,22.495021
channel-750,688685,30490720,2025-02-27 23:42:50.384291,30490730.0,2025-02-27 23:43:02.429667,10.0,,,12.045376
channel-750,688686,30490797,2025-02-27 23:44:28.110802,30490817.0,2025-02-27 23:44:50.687600,20.0,,,22.576798
channel-750,688687,30490818,2025-02-27 23:44:51.733635,30490840.0,2025-02-27 23:45:20.002635,22.0,,,28.269
channel-750,688688,30490985,2025-02-27 23:48:20.922520,30490990.0,2025-02-27 23:48:26.464865,5.0,,,5.542345
channel-750,688689,30491012,2025-02-27 23:48:52.242438,30491506.0,2025-02-27 23:59:10.780639,494.0,,,618.538201
channel-750,688690,30491160,2025-02-27 23:51:58.061786,30491174.0,2025-02-27 23:52:15.721650,14.0,,,17.659864
channel-750,688691,30491186,2025-02-27 23:52:31.329649,30491204.0,2025-02-27 23:52:50.903177,18.0,,,19.573528
channel-750,688692,30491337,2025-02-27 23:55:39.053884,30491350.0,2025-02-27 23:55:53.391539,13.0,,,14.337655
channel-750,688693,30491346,2025-02-27 23:55:49.107702,30491363.0,2025-02-27 23:56:08.018422,17.0,,,18.91072
channel-750,688694,30491380,2025-02-27 23:56:30.660617,30491385.0,2025-02-27 23:56:36.282013,5.0,,,5.621396
channel-750,688695,30491555,2025-02-28 00:00:12.661890,30491576.0,2025-02-28 00:00:41.750067,21.0,,,29.088177
channel-750,688696,30491569,2025-02-28 00:00:33.833105,30491574.0,2025-02-28 00:00:39.584670,5.0,,,5.751565
channel-750,688697,30491575,2025-02-28 00:00:40.713994,30491589.0,2025-02-28 00:00:57.479474,14.0,,,16.76548
channel-750,688698,30491590,2025-02-28 00:00:58.537155,30491602.0,2025-02-28 00:01:13.043657,12.0,,,14.506502
channel-750,688699,30491597,2025-02-28 00:01:07.438889,30491602.0,2025-02-28 00:01:13.043657,5.0,,,5.604768
channel-750,688700,30491604,2025-02-28 00:01:15.431305,30491608.0,2025-02-28 00:01:21.895569,4.0,,,6.464264
channel-750,688701,30491611,2025-02-28 00:01:25.194954,30491617.0,2025-02-28 00:01:31.855819,6.0,,,6.660865
channel-750,688702,30491651,2025-02-28 00:02:12.852610,30491654.0,2025-02-28 00:02:17.571758,3.0,,,4.719148
channel-750,688703,30491708,2025-02-28 00:03:25.594138,30491712.0,2025-02-28 00:03:32.065173,4.0,,,6.471035
channel-750,688704,30491780,2025-02-28 00:04:58.748225,30491791.0,2025-02-28 00:05:10.797244,11.0,,,12.049019
channel-750,688705,30491805,2025-02-28 00:05:28.954746,30491811.0,2025-02-28 00:05:35.697246,6.0,,,6.7425
channel-750,688706,30491969,2025-02-28 00:08:58.538864,30491985.0,2025-02-28 00:09:16.794635,16.0,,,18.255771
channel-750,688707,30491978,2025-02-28 00:09:08.687028,30491999.0,2025-02-28 00:09:34.196817,21.0,,,25.509789
channel-750,688708,30491979,2025-02-28 00:09:09.831139,30491999.0,2025-02-28 00:09:34.196817,20.0,,,24.365678
channel-750,688709,30492067,2025-02-28 00:10:56.814212,30492072.0,2025-02-28 00:11:02.638914,5.0,,,5.824702
channel-750,688710,30492249,2025-02-28 00:14:50.004525,30492255.0,2025-02-28 00:14:56.924613,6.0,,,6.920088
channel-750,688711,30492251,2025-02-28 00:14:52.431316,30492302.0,2025-02-28 00:15:55.767262,51.0,,,63.335946
channel-750,688712,30492422,2025-02-28 00:18:26.246409,30492427.0,2025-02-28 00:18:31.691305,5.0,,,5.444896
channel-750,688713,30492677,2025-02-28 00:23:46.843024,30492711.0,2025-02-28 00:24:30.073333,34.0,,,43.230309
channel-750,688714,30492778,2025-02-28 00:25:51.300810,30492816.0,2025-02-28 00:26:41.328003,38.0,,,50.027193
channel-750,688715,30492787,2025-02-28 00:26:06.545865,30492797.0,2025-02-28 00:26:18.928255,10.0,,,12.38239
channel-750,688716,30492938,2025-02-28 00:29:07.263547,30492958.0,2025-02-28 00:29:33.011040,20.0,,,25.747493
channel-750,688717,30493624,2025-02-28 00:43:20.110300,30493628.0,2025-02-28 00:43:25.311695,4.0,,,5.201395
channel-750,688718,30493631,2025-02-28 00:43:28.758980,30493646.0,2025-02-28 00:43:52.675188,15.0,,,23.916208
channel-750,688719,30493663,2025-02-28 00:44:12.134423,30493674.0,2025-02-28 00:44:25.396922,11.0,,,13.262499
channel-750,688720,30493733,2025-02-28 00:45:39.843420,30493737.0,2025-02-28 00:45:44.182720,4.0,,,4.3393
