channel_id,sequence,send_height,send_time,ack_height,ack_time,block_delay,time_delay_sec,fee_amount,fee_denom,send_tx_hash,ack_tx_hash
channel-569,302566,23500009,2024-12-14T00:05:16.622791,23500012.0,,3.0,,,,,
channel-141,4143150,23500012,,23500014.0,2024-12-14T00:05:48.826300,2.0,,,,,
channel-569,302567,23500014,2024-12-14T00:05:48.826300,,,,,,,,
channel-141,4143151,23500014,2024-12-14T00:05:48.826300,,,,,,,,
channel-141,4143152,23500014,2024-12-14T00:05:48.826300,,,,,,,,
channel-343,122153,23500028,,,,,,,,,
channel-569,302571,23500028,,23500030.0,,2.0,,,,,
channel-141,4143154,23500029,,,,,,,,,
channel-391,367143,23500044,,,,,,,,,
channel-339,7221,23500059,,,,,,,,,
channel-141,4143157,23500062,,,,,,,,,
channel-141,4143158,23500062,,,,,,,,,
channel-391,367144,23500068,2024-12-14T00:11:06.174190,23500071.0,,3.0,,,,,
channel-339,7222,23500071,,,,,,,,,
channel-141,4143159,23500077,,,,,,,,,
channel-141,4143160,23500092,,23500094.0,,2.0,,,,,
channel-141,4143163,23500111,,,,,,,,,
channel-569,302578,23500114,,,,,,,,,
channel-141,4143164,23500119,,23500121.0,2024-12-14T00:16:28.099628,2.0,,,,,
channel-141,4143165,23500123,,,,,,,,,
channel-141,4143169,23500141,,23500143.0,,2.0,,,,,
channel-141,4143171,23500152,,,,,,,,,
channel-569,302581,23500166,,23500169.0,,3.0,,,,,
channel-569,302582,23500168,,23500171.0,,3.0,,,,,
channel-235,41837,23500185,,,,,,,,,
channel-141,4143176,23500190,,,,,,,,,
channel-141,4143179,23500216,2024-12-14T00:25:52.258483,,,,,,,,
channel-141,4143180,23500217,,23500219.0,,2.0,,,,,
channel-730,16136,23500244,,23500248.0,,4.0,,,,,
channel-141,4143182,23500244,,23500247.0,,3.0,,,,,
channel-141,4143183,23500247,,23500249.0,,2.0,,,,,
channel-141,4143184,23500248,,23500250.0,,2.0,,,,,
channel-141,4143185,23500250,,23500253.0,,3.0,,,,,
channel-141,4143186,23500253,,,,,,,,,
channel-794,21019,23500268,,23500271.0,,3.0,,,,,
channel-569,302584,23500272,2024-12-14T00:31:19.012148,23500275.0,,3.0,,,,,
channel-141,4143192,23500283,,,,,,,,,
channel-141,4143194,23500307,,23500309.0,,2.0,,,,,
channel-220,108447,23500318,,23500320.0,,2.0,,,,,
channel-141,4143195,23500331,,23500334.0,,3.0,,,,,
channel-141,4143196,23500334,,23500336.0,,2.0,,,,,
channel-141,4143197,23500334,,23500336.0,,2.0,,,,,
channel-141,4143199,23500347,2024-12-14T00:38:39.399645,,,,,,,,
channel-141,4143204,23500364,,,,,,,,,
channel-141,4143205,23500368,,23500370.0,,2.0,,,,,
channel-141,4143206,23500376,,23500378.0,,2.0,,,,,
channel-141,4143207,23500377,,,,,,,,,
channel-141,4143208,23500378,,,,,,,,,
channel-141,4143209,23500396,,23500398.0,2024-12-14T00:43:39.959660,2.0,,,,,
channel-141,4143210,23500400,,,,,,,,,
channel-569,302588,23500403,,,,,,,,,
channel-569,302589,23500407,,,,,,,,,
channel-569,302590,23500411,,23500413.0,,2.0,,,,,
channel-141,4143211,23500411,,23500413.0,,2.0,,,,,
channel-141,4143212,23500417,,,,,,,,,
channel-141,4143213,23500423,,,,,,,,,
channel-141,4143214,23500429,2024-12-14T00:46:46.435234,,,,,,,,
channel-141,4143215,23500429,2024-12-14T00:46:46.435234,,,,,,,,
channel-141,4143217,23500438,,23500440.0,,2.0,,,,,
channel-241,40010,23500438,,23500441.0,,3.0,,,,,
channel-141,4143218,23500446,,,,,,,,,
