channel_id,sequence,send_height,ack_height,block_delay,send_time,ack_time,fee_amount,fee_denom
channel-6994,1322468,30200000,30200062.0,62.0,,,,
channel-750,680667,30200009,30200027.0,18.0,,,,
channel-85077,58883,30200018,30200061.0,43.0,,,,
channel-750,680668,30200027,30200040.0,13.0,,,,
channel-5,184171,30200037,30200048.0,11.0,,,,
channel-750,680669,30200041,30200045.0,4.0,,,,
channel-85077,58884,30200052,30200061.0,9.0,,,,
channel-122,667437,30200059,30200063.0,4.0,,,,
channel-326,537271,30200067,30200087.0,20.0,,,,
channel-6994,1322469,30200069,30200097.0,28.0,,,,
channel-85077,58885,30200071,30200097.0,26.0,,,,
channel-0,4035735,30200079,30200089.0,10.0,,,,
channel-750,680670,30200089,30200105.0,16.0,,,,
channel-750,680671,30200090,30200105.0,15.0,,,,
channel-72,516369,30200090,30200131.0,41.0,,,,
channel-85077,58886,30200092,30200132.0,40.0,,,,
channel-750,680672,30200095,30200109.0,14.0,,,,
channel-85791,3685,30200097,30200103.0,6.0,,,,
channel-750,680673,30200098,30200109.0,11.0,,,,
channel-85077,58887,30200107,30200132.0,25.0,,,,
channel-85077,58888,30200120,30200132.0,12.0,,,,
channel-216,94020,30200123,30200127.0,4.0,,,,
channel-199,132470,30200125,30200134.0,9.0,,,,
channel-750,680674,30200130,30200134.0,4.0,,,,
channel-6994,1322470,30200150,30200182.0,32.0,,,,
channel-0,4035736,30200151,30200161.0,10.0,,,,
channel-326,537272,30200173,30200178.0,5.0,,,,
channel-19774,345654,30200176,30200185.0,9.0,,,,
channel-222,3825,30200181,30200190.0,9.0,,,,
channel-326,537273,30200186,30200192.0,6.0,,,,
channel-874,292242,30200196,30200207.0,11.0,,,,
channel-42,1489762,30200197,30200204.0,7.0,,,,
channel-2494,31839,30200199,30200212.0,13.0,,,,
channel-0,4035737,30200201,30200209.0,8.0,,,,
channel-19774,345655,30200203,30200216.0,13.0,,,,
channel-89298,18536,30200207,30200215.0,8.0,,,,
channel-1,408002,30200219,30200312.0,93.0,,,,
channel-874,292243,30200234,30200239.0,5.0,,,,
channel-750,680675,30200238,30200253.0,15.0,,,,
channel-89298,18537,30200250,30200260.0,10.0,,,,
channel-113,301245,30200252,30200263.0,11.0,,,,
channel-143,128213,30200264,30200275.0,11.0,,,,
channel-326,537274,30200271,30200277.0,6.0,,,,
channel-75,844462,30200288,30200297.0,9.0,,,,
channel-122,667438,30200288,30200291.0,3.0,,,,
channel-79703,4390,30200302,30200309.0,7.0,,,,
channel-75,844463,30200311,30200319.0,8.0,,,,
channel-88,466981,30200312,30200330.0,18.0,,,,
channel-216,94021,30200323,30200327.0,4.0,,,,
channel-2494,31840,30200332,30200340.0,8.0,,,,
channel-122,667439,30200332,30200336.0,4.0,,,,
channel-216,94022,30200332,30200337.0,5.0,,,,
channel-72,516370,30200339,30200388.0,49.0,,,,
channel-2494,31841,30200352,30200363.0,11.0,,,,
channel-2494,31842,30200372,30200381.0,9.0,,,,
channel-320,119114,30200393,30200403.0,10.0,,,,
channel-0,4035738,30200399,30200408.0,9.0,,,,
channel-122,667440,30200405,30200409.0,4.0,,,,
channel-208,1489103,30200425,30200440.0,15.0,,,,
channel-208,1489104,30200446,30200454.0,8.0,,,,
channel-251,85113,30200457,30200470.0,13.0,,,,
channel-326,537275,30200458,30200487.0,29.0,,,,
channel-208,1489105,30200484,30200498.0,14.0,,,,
channel-113,301246,30200487,30200498.0,11.0,,,,
channel-85077,58889,30200487,30200540.0,53.0,,,,
channel-642,126459,30200496,30200539.0,43.0,,,,
channel-642,126460,30200507,30200561.0,54.0,,,,
channel-0,4035739,30200509,30200518.0,9.0,,,,
channel-642,126461,30200513,30200566.0,53.0,,,,
channel-85077,58890,30200514,30200540.0,26.0,,,,
channel-94814,3682,30200516,30200526.0,10.0,,,,
channel-85077,58891,30200541,30200571.0,30.0,,,,
channel-216,94023,30200554,30200558.0,4.0,,,,
channel-122,667441,30200554,30200558.0,4.0,,,,
channel-208,1489106,30200573,30200583.0,10.0,,,,
channel-238,10100,30200575,30200591.0,16.0,,,,
channel-222,3826,30200578,30200587.0,9.0,,,,
channel-1,408003,30200584,30200598.0,14.0,,,,
channel-0,4035740,30200593,30200603.0,10.0,,,,
channel-2,130554,30200595,30200606.0,11.0,,,,
channel-750,680676,30200597,30200606.0,9.0,,,,
channel-750,680677,30200598,30200633.0,35.0,,,,
channel-6994,1322471,30200599,30200607.0,8.0,,,,
channel-6994,1322472,30200608,30200624.0,16.0,,,,
channel-4,166739,30200611,30200634.0,23.0,,,,
channel-89298,18538,30200619,30200629.0,10.0,,,,
channel-362,86672,30200625,30200636.0,11.0,,,,
channel-208,1489107,30200627,30200638.0,11.0,,,,
channel-75,844464,30200633,30200638.0,5.0,,,,
channel-184,137332,30200645,30200654.0,9.0,,,,
channel-1,408004,30200647,30200676.0,29.0,,,,
channel-6787,166562,30200663,30200667.0,4.0,,,,
channel-340,3127,30200668,30200678.0,10.0,,,,
channel-0,4035741,30200675,30200688.0,13.0,,,,
channel-6787,166563,30200677,30200681.0,4.0,,,,
channel-6787,166564,30200678,30200682.0,4.0,,,,
channel-122,667442,30200679,30200683.0,4.0,,,,
channel-0,4035742,30200685,30200696.0,11.0,,,,
channel-6787,166565,30200700,30200704.0,4.0,,,,
channel-0,4035743,30200703,30200710.0,7.0,,,,
channel-1,408005,30200708,30200716.0,8.0,,,,
channel-113,301247,30200730,30200741.0,11.0,,,,
channel-76971,12203,30200739,30200766.0,27.0,,,,
channel-216,94024,30200742,30200746.0,4.0,,,,
channel-0,4035744,30200747,30200755.0,8.0,,,,
channel-0,4035745,30200748,30200772.0,24.0,,,,
channel-75,844465,30200757,30200766.0,9.0,,,,
channel-216,94025,30200767,30200771.0,4.0,,,,
channel-6787,166566,30200772,30200777.0,5.0,,,,
channel-750,680678,30200776,30200783.0,7.0,,,,
channel-0,4035746,30200778,30200787.0,9.0,,,,
channel-0,4035747,30200782,30200791.0,9.0,,,,
channel-75,844466,30200798,30200804.0,6.0,,,,
channel-75,844467,30200807,30200813.0,6.0,,,,
channel-326,537276,30200821,30200843.0,22.0,,,,
channel-85077,58892,30200825,30200852.0,27.0,,,,
channel-750,680679,30200827,30200838.0,11.0,,,,
channel-320,119115,30200848,30200859.0,11.0,,,,
channel-750,680680,30200854,30200869.0,15.0,,,,
channel-85077,58893,30200869,30200884.0,15.0,,,,
channel-75,844468,30200869,30200877.0,8.0,,,,
channel-204,670685,30200897,30200907.0,10.0,,,,
channel-204,670686,30200898,30200907.0,9.0,,,,
channel-85077,58894,30200903,30200915.0,12.0,,,,
channel-204,670687,30200904,30200914.0,10.0,,,,
channel-750,680681,30200905,30200916.0,11.0,,,,
channel-204,670688,30200908,30200917.0,9.0,,,,
channel-188,190497,30200911,30200923.0,12.0,,,,
channel-204,670689,30200913,30200922.0,9.0,,,,
channel-204,670690,30200915,30200926.0,11.0,,,,
channel-85077,58895,30200918,30200944.0,26.0,,,,
channel-0,4035748,30200918,30200928.0,10.0,,,,
channel-0,4035749,30200919,30200928.0,9.0,,,,
channel-0,4035750,30200920,30200933.0,13.0,,,,
