channel_id,sequence,send_height,send_time,ack_height,ack_time,block_delay,fee_amount,fee_denom
channel-75,844805,30257000,2025-02-24 11:30:45,30257007,,7.0,,
channel-85077,59483,30257004,2025-02-24 11:30:50,30257013,,9.0,,
channel-750,681735,30257017,2025-02-24 11:31:05,30257027,,10.0,,
channel-0,4037240,30257019,2025-02-24 11:31:09,30257030,,11.0,,
channel-0,4037241,30257021,2025-02-24 11:31:12,30257030,,9.0,,
channel-782,310095,30257023,2025-02-24 11:31:15,30257028,,5.0,,
channel-122,667720,30257026,2025-02-24 11:31:19,30257030,,4.0,,
channel-208,1489638,30257027,2025-02-24 11:31:20,30257041,,14.0,,
channel-750,681736,30257027,2025-02-24 11:31:20,30257042,,15.0,,
channel-6994,1323312,30257039,2025-02-24 11:31:34,30257053,,14.0,,
channel-750,681737,30257045,2025-02-24 11:31:42,30257059,,14.0,,
channel-89298,18587,30257047,,30257058,,11.0,,
channel-750,681738,30257048,,30257053,,5.0,,
channel-0,4037242,30257051,,30257059,,8.0,,
channel-750,681739,30257062,,30257069,,7.0,,
channel-6994,1323313,30257062,,30257071,,9.0,,
channel-0,4037243,30257066,,30257074,,8.0,,
channel-85077,59484,30257070,,30257079,,9.0,,
channel-122,667721,30257072,,30257088,,16.0,,
channel-85077,59485,30257074,,30257096,,22.0,,
channel-6994,1323314,30257079,,30257091,,12.0,,
channel-85077,59486,30257082,,30257094,,12.0,,
channel-6994,1323315,30257083,,30257097,,14.0,,
channel-0,4037244,30257084,,30257096,,12.0,,
channel-6994,1323316,30257092,,30257106,,14.0,,
channel-85077,59487,30257094,,30257105,,11.0,,
channel-75,844806,30257099,,30257106,,7.0,,
channel-0,4037245,30257101,,30257111,,10.0,,
channel-89321,19361,30257106,,30257117,,11.0,,
channel-0,4037246,30257128,,30257138,,10.0,,
channel-2,130589,30257140,,30257152,,12.0,,
channel-0,4037247,30257152,,30257162,,10.0,,
channel-199,132581,30257166,,30257176,,10.0,,
channel-75,844807,30257176,,30257183,,7.0,,
channel-94814,3743,30257178,,30257192,,14.0,,
channel-750,681740,30257186,,30257193,,7.0,,
channel-0,4037248,30257194,,30257203,,9.0,,
channel-75,844808,30257198,,30257206,,8.0,,
channel-750,681741,30257209,,30257219,,10.0,,
channel-122,667722,30257214,,30257217,,3.0,,
channel-750,681742,30257236,,30257241,,5.0,,
channel-89298,18588,30257241,,30257250,,9.0,,
channel-6994,1323317,30257251,,30257262,,11.0,,
channel-0,4037249,30257251,,30257261,,10.0,,
channel-208,1489639,30257259,,30257272,,13.0,,
channel-208,1489640,30257260,,30257272,,12.0,,
channel-6994,1323318,30257260,,30257272,,12.0,,
channel-0,4037250,30257277,,30257290,,13.0,,
channel-6994,1323319,30257285,,30257298,,13.0,,
channel-0,4037251,30257300,,30257309,,9.0,,
channel-782,310096,30257306,,30257312,,6.0,,
channel-85077,59488,30257308,,30257321,,13.0,,
channel-6994,1323320,30257309,,30257324,,15.0,,
channel-6994,1323321,30257321,,30257335,,14.0,,
channel-1429,140687,30257323,,30257331,,8.0,,
channel-122,667723,30257324,,30257327,,3.0,,
channel-6994,1323322,30257325,,30257335,,10.0,,
channel-6994,1323323,30257327,,30257341,,14.0,,
channel-874,292735,30257327,,30257336,,9.0,,
channel-6994,1323324,30257336,,30257346,,10.0,,
channel-39535,10289,30257336,,30257390,,54.0,,
channel-750,681743,30257341,,30257355,,14.0,,
channel-750,681744,30257357,,30257367,,10.0,,
channel-89321,19362,30257360,,30257390,,30.0,,
channel-2,130590,30257371,,30257381,,10.0,,
channel-85077,59489,30257379,,30257390,,11.0,,
channel-85077,59490,30257385,,30257395,,10.0,,
channel-6994,1323325,30257398,,30257410,,12.0,,
channel-0,4037252,30257404,,30257418,,14.0,,
channel-208,1489641,30257425,,30257437,,12.0,,
channel-89298,18589,30257430,,30257439,,9.0,,
channel-208,1489642,30257440,,30257451,,11.0,,
channel-6787,166630,30257447,,30257453,,6.0,,
channel-208,1489643,30257471,,30257478,,7.0,,
channel-6994,1323326,30257473,,30257483,,10.0,,
channel-208,1489644,30257480,,30257493,,13.0,,
channel-208,1489645,30257482,,30257493,,11.0,,
channel-326,537534,30257489,,30257496,,7.0,,
channel-6994,1323327,30257499,,30257511,,12.0,,
channel-229,55006,30257538,,30257549,,11.0,,
channel-0,4037253,30257540,,30257548,,8.0,,
channel-750,681745,30257541,,30257558,,17.0,,
channel-19774,345789,30257546,,30257555,,9.0,,
channel-85077,59491,30257547,,30257570,,23.0,,
channel-75,844809,30257570,,30257577,,7.0,,
channel-1,408213,30257580,,30257591,,11.0,,
channel-21113,25296,30257588,,30257598,,10.0,,
channel-0,4037254,30257595,,30257605,,10.0,,
