channel_id,sequence,send_height,send_time,ack_height,ack_time,block_delay,fee_amount,fee_denom,time_delay_sec
channel-6994,1323312,30257039,2025-02-24 11:31:34,30257053.0,2025-02-24 11:31:52,14.0,,,18.0
channel-6994,1323313,30257062,2025-02-24 11:32:07,30257071.0,2025-02-24 11:32:19,9.0,,,12.0
channel-6994,1323314,30257079,2025-02-24 11:32:30,30257091.0,2025-02-24 11:32:44,12.0,,,14.0
channel-6994,1323315,30257083,2025-02-24 11:32:35,30257097.0,2025-02-24 11:32:51,14.0,,,16.0
channel-6994,1323316,30257092,2025-02-24 11:32:45,30257106.0,2025-02-24 11:33:02,14.0,,,17.0
channel-6994,1323317,30257251,2025-02-24 11:36:15,30257262.0,2025-02-24 11:36:28,11.0,,,13.0
channel-6994,1323318,30257260,2025-02-24 11:36:26,30257272.0,2025-02-24 11:36:41,12.0,,,15.0
channel-6994,1323319,30257285,2025-02-24 11:37:02,30257298.0,2025-02-24 11:37:17,13.0,,,15.0
channel-6994,1323320,30257309,2025-02-24 11:37:31,30257324.0,2025-02-24 11:37:50,15.0,,,19.0
channel-6994,1323321,30257321,2025-02-24 11:37:47,30257335.0,2025-02-24 11:38:08,14.0,,,21.0
channel-6994,1323322,30257325,2025-02-24 11:37:51,30257335.0,2025-02-24 11:38:08,10.0,,,17.0
channel-6994,1323323,30257327,2025-02-24 11:37:53,30257341.0,2025-02-24 11:38:16,14.0,,,23.0
channel-6994,1323324,30257336,2025-02-24 11:38:09,30257346.0,2025-02-24 11:38:22,10.0,,,13.0
channel-6994,1323325,30257398,2025-02-24 11:39:29,30257410.0,2025-02-24 11:39:46,12.0,,,17.0
channel-6994,1323326,30257473,2025-02-24 11:41:07,30257483.0,2025-02-24 11:41:22,10.0,,,15.0
channel-6994,1323327,30257499,2025-02-24 11:41:46,30257511.0,2025-02-24 11:42:02,12.0,,,16.0
channel-6994,1323328,30257675,2025-02-24 11:45:36,30257686.0,2025-02-24 11:45:51,11.0,,,15.0
channel-6994,1323329,30257681,2025-02-24 11:45:43,30257689.0,2025-02-24 11:45:57,8.0,,,14.0
