channel_id,sequence,send_height,send_time,ack_height,ack_time,block_delay,fee_amount,fee_denom,time_delay_sec
channel-75,844805,30257000,2025-02-24 11:30:45,30257007.0,2025-02-24 11:30:53,7.0,,,8.0
channel-85077,59483,30257004,2025-02-24 11:30:50,30257013.0,2025-02-24 11:31:01,9.0,,,11.0
channel-750,681735,30257017,2025-02-24 11:31:05,30257027.0,2025-02-24 11:31:20,10.0,,,15.0
channel-0,4037240,30257019,2025-02-24 11:31:09,30257030.0,2025-02-24 11:31:24,11.0,,,15.0
channel-0,4037241,30257021,2025-02-24 11:31:12,30257030.0,2025-02-24 11:31:24,9.0,,,12.0
channel-782,310095,30257023,2025-02-24 11:31:15,30257028.0,2025-02-24 11:31:22,5.0,,,7.0
channel-122,667720,30257026,2025-02-24 11:31:19,30257030.0,2025-02-24 11:31:24,4.0,,,5.0
channel-208,1489638,30257027,2025-02-24 11:31:20,30257041.0,2025-02-24 11:31:37,14.0,,,17.0
channel-750,681736,30257027,2025-02-24 11:31:20,30257042.0,2025-02-24 11:31:39,15.0,,,19.0
channel-6994,1323312,30257039,2025-02-24 11:31:34,30257053.0,2025-02-24 11:31:52,14.0,,,18.0
channel-750,681737,30257045,2025-02-24 11:31:42,30257059.0,2025-02-24 11:32:00,14.0,,,18.0
channel-89298,18587,30257047,2025-02-24 11:31:44,30257058.0,2025-02-24 11:31:59,11.0,,,15.0
channel-750,681738,30257048,2025-02-24 11:31:46,30257053.0,2025-02-24 11:31:52,5.0,,,6.0
channel-0,4037242,30257051,2025-02-24 11:31:49,30257059.0,2025-02-24 11:32:00,8.0,,,11.0
channel-750,681739,30257062,2025-02-24 11:32:07,30257069.0,2025-02-24 11:32:16,7.0,,,9.0
channel-6994,1323313,30257062,2025-02-24 11:32:07,30257071.0,2025-02-24 11:32:19,9.0,,,12.0
channel-0,4037243,30257066,2025-02-24 11:32:11,30257074.0,2025-02-24 11:32:23,8.0,,,12.0
channel-85077,59484,30257070,2025-02-24 11:32:17,30257079.0,2025-02-24 11:32:30,9.0,,,13.0
channel-122,667721,30257072,2025-02-24 11:32:20,30257088.0,2025-02-24 11:32:40,16.0,,,20.0
channel-85077,59485,30257074,2025-02-24 11:32:23,30257096.0,2025-02-24 11:32:50,22.0,,,27.0
channel-6994,1323314,30257079,2025-02-24 11:32:30,30257091.0,2025-02-24 11:32:44,12.0,,,14.0
channel-85077,59486,30257082,2025-02-24 11:32:33,30257094.0,2025-02-24 11:32:48,12.0,,,15.0
channel-6994,1323315,30257083,2025-02-24 11:32:35,30257097.0,2025-02-24 11:32:51,14.0,,,16.0
channel-0,4037244,30257084,2025-02-24 11:32:36,30257096.0,2025-02-24 11:32:50,12.0,,,14.0
channel-6994,1323316,30257092,2025-02-24 11:32:45,30257106.0,2025-02-24 11:33:02,14.0,,,17.0
channel-85077,59487,30257094,2025-02-24 11:32:48,30257105.0,2025-02-24 11:33:01,11.0,,,13.0
channel-75,844806,30257099,2025-02-24 11:32:53,30257106.0,2025-02-24 11:33:02,7.0,,,9.0
channel-0,4037245,30257101,2025-02-24 11:32:57,30257111.0,2025-02-24 11:33:09,10.0,,,12.0
channel-89321,19361,30257106,2025-02-24 11:33:02,30257117.0,2025-02-24 11:33:16,11.0,,,14.0
channel-0,4037246,30257128,2025-02-24 11:33:34,30257138.0,2025-02-24 11:33:46,10.0,,,12.0
channel-2,130589,30257140,2025-02-24 11:33:49,30257152.0,2025-02-24 11:34:03,12.0,,,14.0
channel-0,4037247,30257152,2025-02-24 11:34:03,30257162.0,2025-02-24 11:34:16,10.0,,,13.0
channel-199,132581,30257166,2025-02-24 11:34:21,30257176.0,2025-02-24 11:34:35,10.0,,,14.0
channel-75,844807,30257176,2025-02-24 11:34:35,30257183.0,2025-02-24 11:34:44,7.0,,,9.0
channel-94814,3743,30257178,2025-02-24 11:34:38,30257192.0,2025-02-24 11:34:55,14.0,,,17.0
channel-750,681740,30257186,2025-02-24 11:34:48,30257193.0,2025-02-24 11:34:57,7.0,,,9.0
channel-0,4037248,30257194,2025-02-24 11:34:58,30257203.0,2025-02-24 11:35:09,9.0,,,11.0
channel-75,844808,30257198,2025-02-24 11:35:02,30257206.0,2025-02-24 11:35:13,8.0,,,11.0
channel-750,681741,30257209,2025-02-24 11:35:16,30257219.0,2025-02-24 11:35:29,10.0,,,13.0
channel-122,667722,30257214,2025-02-24 11:35:23,30257217.0,2025-02-24 11:35:27,3.0,,,4.0
channel-750,681742,30257236,2025-02-24 11:35:50,30257241.0,2025-02-24 11:36:01,5.0,,,11.0
