channel_id,sequence,send_height,send_time,ack_height,ack_time,block_delay,fee_amount,fee_denom
channel-75,844805,30257000,,30257007.0,,7.0,,
channel-85077,59483,30257004,,30257013.0,,9.0,,
channel-750,681735,30257017,,30257027.0,,10.0,,
channel-0,4037240,30257019,,30257030.0,,11.0,,
channel-0,4037241,30257021,,30257030.0,,9.0,,
channel-782,310095,30257023,,30257028.0,,5.0,,
channel-122,667720,30257026,,30257030.0,,4.0,,
channel-208,1489638,30257027,,30257041.0,,14.0,,
channel-750,681736,30257027,,30257042.0,,15.0,,
channel-6994,1323312,30257039,,30257053.0,,14.0,,
channel-750,681737,30257045,,30257059.0,,14.0,,
channel-89298,18587,30257047,,30257058.0,,11.0,,
channel-750,681738,30257048,,30257053.0,,5.0,,
channel-0,4037242,30257051,,30257059.0,,8.0,,
channel-750,681739,30257062,,30257069.0,,7.0,,
channel-6994,1323313,30257062,,30257071.0,,9.0,,
channel-0,4037243,30257066,,30257074.0,,8.0,,
channel-85077,59484,30257070,,30257079.0,,9.0,,
channel-122,667721,30257072,,30257088.0,,16.0,,
channel-85077,59485,30257074,,30257096.0,,22.0,,
channel-6994,1323314,30257079,,30257091.0,,12.0,,
channel-85077,59486,30257082,,30257094.0,,12.0,,
channel-6994,1323315,30257083,,30257097.0,,14.0,,
channel-0,4037244,30257084,,30257096.0,,12.0,,
channel-6994,1323316,30257092,,30257106.0,,14.0,,
channel-85077,59487,30257094,,30257105.0,,11.0,,
channel-75,844806,30257099,,30257106.0,,7.0,,
channel-0,4037245,30257101,,30257111.0,,10.0,,
channel-89321,19361,30257106,,30257117.0,,11.0,,
channel-0,4037246,30257128,,30257138.0,,10.0,,
channel-2,130589,30257140,,30257152.0,,12.0,,
channel-0,4037247,30257152,,30257162.0,,10.0,,
channel-199,132581,30257166,,30257176.0,,10.0,,
channel-75,844807,30257176,,30257183.0,,7.0,,
channel-94814,3743,30257178,,30257192.0,,14.0,,
channel-750,681740,30257186,,30257193.0,,7.0,,
channel-0,4037248,30257194,,30257203.0,,9.0,,
channel-75,844808,30257198,,30257206.0,,8.0,,
channel-750,681741,30257209,,30257219.0,,10.0,,
channel-122,667722,30257214,,30257217.0,,3.0,,
channel-750,681742,30257236,,30257241.0,,5.0,,
channel-89298,18588,30257241,,30257250.0,,9.0,,
channel-6994,1323317,30257251,,30257262.0,,11.0,,
channel-0,4037249,30257251,,30257261.0,,10.0,,
channel-208,1489639,30257259,,30257272.0,,13.0,,
channel-208,1489640,30257260,,30257272.0,,12.0,,
channel-6994,1323318,30257260,,30257272.0,,12.0,,
channel-0,4037250,30257277,,30257290.0,,13.0,,
channel-6994,1323319,30257285,,30257298.0,,13.0,,
channel-0,4037251,30257300,,30257309.0,,9.0,,
channel-782,310096,30257306,,30257312.0,,6.0,,
channel-85077,59488,30257308,,30257321.0,,13.0,,
channel-6994,1323320,30257309,,30257324.0,,15.0,,
channel-6994,1323321,30257321,,30257335.0,,14.0,,
channel-1429,140687,30257323,,30257331.0,,8.0,,
channel-122,667723,30257324,,30257327.0,,3.0,,
channel-6994,1323322,30257325,,30257335.0,,10.0,,
channel-6994,1323323,30257327,,30257341.0,,14.0,,
channel-874,292735,30257327,,30257336.0,,9.0,,
channel-6994,1323324,30257336,,30257346.0,,10.0,,
channel-39535,10289,30257336,,30257390.0,,54.0,,
channel-750,681743,30257341,,30257355.0,,14.0,,
channel-750,681744,30257357,,30257367.0,,10.0,,
channel-89321,19362,30257360,,30257390.0,,30.0,,
channel-2,130590,30257371,,30257381.0,,10.0,,
channel-85077,59489,30257379,,30257390.0,,11.0,,
channel-85077,59490,30257385,,30257395.0,,10.0,,
channel-6994,1323325,30257398,,30257410.0,,12.0,,
channel-0,4037252,30257404,,30257418.0,,14.0,,
