timestamp,n_txs,total,total_bytes
2025-03-24 20:38:27,2,2,695
2025-03-24 20:38:32,0,0,0
2025-03-24 20:38:37,0,0,0
2025-03-24 20:38:41,0,0,0
2025-03-24 20:38:43,3,3,10412
2025-03-24 20:38:47,0,0,0
2025-03-24 20:38:52,2,2,657
2025-03-24 20:38:56,1,1,27210
2025-03-24 20:39:01,3,3,29344
2025-03-24 20:39:05,0,0,0
2025-03-24 20:39:10,0,0,0
2025-03-24 20:39:12,1,1,1518
2025-03-24 20:39:16,1,1,501
2025-03-24 20:39:21,2,2,1824
2025-03-24 20:39:25,3,3,30305
2025-03-24 20:39:30,2,2,27784
2025-03-24 20:39:35,4,4,72042
2025-03-24 20:39:40,3,3,31304
2025-03-24 20:39:42,0,0,0
2025-03-24 20:39:47,2,2,27928
2025-03-24 20:39:51,0,0,0
2025-03-24 20:39:56,1,1,337
2025-03-24 20:40:00,1,1,257
2025-03-24 20:40:04,2,2,656
2025-03-24 20:40:08,2,2,656
2025-03-24 20:40:16,0,0,0
2025-03-24 20:40:14,1,1,257
2025-03-24 20:40:19,1,1,257
2025-03-24 20:40:24,0,0,0
2025-03-24 20:40:28,0,0,0
2025-03-24 20:40:32,1,1,326
2025-03-24 20:40:36,0,0,0
2025-03-24 20:40:40,3,3,1024
2025-03-24 20:40:42,1,1,337
2025-03-24 20:40:48,1,1,27329
2025-03-24 20:40:52,3,3,1505
2025-03-24 20:40:56,5,5,2099
2025-03-24 20:41:00,0,0,0
2025-03-24 20:41:05,0,0,0
2025-03-24 20:41:09,2,2,673
2025-03-24 20:41:12,2,2,1045
2025-03-24 20:41:16,2,2,651
2025-03-24 20:41:20,3,3,1479
2025-03-24 20:41:24,2,2,675
2025-03-24 20:41:29,0,0,0
2025-03-24 20:41:34,3,3,30102
2025-03-24 20:41:39,0,0,0
2025-03-24 20:41:41,2,2,1165
2025-03-24 20:41:46,4,4,42905
2025-03-24 20:41:51,1,1,34461
2025-03-24 20:41:56,0,0,0
2025-03-24 20:42:00,2,2,593
2025-03-24 20:42:04,1,1,257
2025-03-24 20:42:08,0,0,0
2025-03-24 20:42:12,0,0,0
2025-03-24 20:42:15,0,0,0
2025-03-24 20:42:19,1,1,352
2025-03-24 20:42:23,0,0,0
2025-03-24 20:42:27,0,0,0
2025-03-24 20:42:32,0,0,0
2025-03-24 20:42:36,0,0,0
2025-03-24 20:42:41,1,1,501
2025-03-24 20:42:43,0,0,0
2025-03-24 20:42:47,0,0,0
2025-03-24 20:42:52,1,1,335
2025-03-24 20:42:56,1,1,257
2025-03-24 20:43:01,1,1,257
2025-03-24 20:43:06,3,3,27944
2025-03-24 20:43:10,0,0,0
2025-03-24 20:43:13,2,2,29587
2025-03-24 20:43:17,2,2,831
2025-03-24 20:43:22,0,0,0
2025-03-24 20:43:27,1,1,338
2025-03-24 20:43:31,2,2,722
2025-03-24 20:43:35,1,1,323
2025-03-24 20:43:40,0,0,0
2025-03-24 20:43:42,2,2,27484
2025-03-24 20:43:46,0,0,0
2025-03-24 20:43:51,3,3,1199
2025-03-24 20:43:55,6,6,2862
2025-03-24 20:44:00,2,2,842
2025-03-24 20:44:04,0,0,0
2025-03-24 20:44:09,0,0,0
2025-03-24 20:44:12,3,3,46388
2025-03-24 20:44:16,0,0,0
2025-03-24 20:44:21,1,1,4084
2025-03-24 20:44:25,3,3,4763
2025-03-24 20:44:30,0,0,0
2025-03-24 20:44:34,0,0,0
2025-03-24 20:44:38,1,1,325
2025-03-24 20:44:42,3,3,1020
2025-03-24 20:44:44,0,0,0
2025-03-24 20:44:49,1,1,336
2025-03-24 20:44:54,1,1,336
2025-03-24 20:44:58,2,2,675
2025-03-24 20:45:02,0,0,0
2025-03-24 20:45:07,2,2,7253
2025-03-24 20:45:11,0,0,0
2025-03-24 20:45:13,0,0,0
2025-03-24 20:45:18,1,1,828
2025-03-24 20:45:22,0,0,0
2025-03-24 20:45:26,0,0,0
2025-03-24 20:45:30,2,2,675
2025-03-24 20:45:34,2,2,838
2025-03-24 20:45:39,3,3,1504
2025-03-24 20:45:42,1,1,666
2025-03-24 20:45:44,0,0,0
2025-03-24 20:45:48,0,0,0
