channel_id,sequence,send_height,ack_height,block_delay
channel-85077,59417,30249900,30249911,11
channel-122,667676,30249909,30249913,4
channel-85077,59418,30249910,30249921,11
channel-0,4037060,30249911,30249922,11
channel-750,681583,30249915,30249925,10
channel-38946,124044,30249919,30249964,45
channel-6994,1323141,30249924,30249974,50
channel-0,4037061,30249933,30249942,9
channel-750,681584,30249935,30249940,5
channel-85077,59419,30249937,30249947,10
channel-750,681585,30249953,30249958,5
channel-6994,1323142,30249959,30249972,13
channel-0,4037062,30249969,30249993,24
channel-750,681586,30249970,30249974,4
channel-750,681587,30249973,30249987,14
channel-6994,1323143,30249974,30249987,13
channel-85077,59420,30249974,30249983,9
channel-208,1489567,30249975,30249987,12
channel-0,4037063,30249975,30249987,12
channel-85077,59421,30249981,30249991,10
channel-85077,59422,30249990,30249999,9
channel-85077,59423,30249991,30250021,30
channel-326,537507,30249995,30250012,17
channel-326,537508,30250002,30250016,14
channel-85077,59424,30250003,30250013,10
channel-208,1489568,30250008,30250016,8
channel-208,1489569,30250008,30250016,8
channel-208,1489570,30250015,30250025,10
channel-38946,124045,30250015,30250030,15
channel-85077,59425,30250017,30250028,11
channel-1,408190,30250019,30250044,25
channel-6994,1323144,30250024,30250033,9
channel-85791,3741,30250033,30250040,7
channel-85077,59426,30250043,30250048,5
channel-750,681588,30250046,30250049,3
channel-326,537509,30250048,30250058,10
channel-0,4037064,30250056,30250067,11
channel-85077,59427,30250060,30250069,9
channel-216,94129,30250066,30250069,3
channel-85077,59428,30250073,30250084,11
channel-0,4037065,30250075,30250086,11
channel-0,4037066,30250094,30250105,11
channel-750,681589,30250097,30250115,18
channel-122,667677,30250098,30250101,3
channel-0,4037067,30250106,30250125,19
channel-208,1489571,30250117,30250128,11
channel-19774,345771,30250120,30250128,8
channel-208,1489572,30250126,30250137,11
channel-42,1489924,30250140,30250148,8
channel-208,1489573,30250153,30250162,9
channel-6994,1323145,30250168,30250177,9
channel-165,71415,30250169,30250181,12
channel-85077,59429,30250181,30250191,10
channel-0,4037068,30250184,30250196,12
channel-208,1489574,30250187,30250199,12
channel-0,4037069,30250191,30250202,11
channel-38946,124046,30250198,30250218,20
channel-6994,1323146,30250203,30250212,9
channel-77,50254,30250209,30250219,10
channel-19774,345772,30250216,30250225,9
channel-750,681590,30250219,30250229,10
channel-0,4037070,30250224,30250237,13
channel-0,4037071,30250231,30250243,12
channel-0,4037072,30250235,30250247,12
channel-42,1489925,30250237,30250243,6
channel-75,844762,30250251,30250262,11
channel-208,1489575,30250259,30250269,10
channel-6994,1323147,30250261,30250311,50
channel-85077,59430,30250268,30250277,9
channel-208,1489576,30250275,30250287,12
channel-6994,1323148,30250277,30250288,11
channel-38946,124047,30250281,30250324,43
channel-208,1489577,30250287,30250296,9
channel-38946,124048,30250297,30250312,15
channel-75,844763,30250303,30250310,7
channel-0,4037073,30250306,30250315,9
channel-208,1489578,30250306,30250328,22
channel-2188,43522,30250315,30250319,4
channel-259,314200,30250316,30250321,5
channel-184,137382,30250322,30250334,12
channel-85077,59431,30250324,30250331,7
channel-108,39835,30250326,30250368,42
channel-6994,1323149,30250328,30250340,12
channel-750,681591,30250332,30250344,12
channel-0,4037074,30250334,30250343,9
channel-0,4037075,30250337,30250348,11
channel-2188,43523,30250337,30250342,5
channel-750,681592,30250337,30250344,7
channel-208,1489579,30250338,30250348,10
channel-184,137383,30250339,30250348,9
channel-38946,124049,30250348,30250393,45
channel-184,137384,30250351,30250361,10
channel-0,4037076,30250358,30250368,10
channel-208,1489580,30250361,30250369,8
channel-326,537510,30250364,30250372,8
channel-750,681593,30250370,30250379,9
channel-208,1489581,30250372,30250388,16
channel-750,681594,30250374,30250386,12
channel-184,137385,30250374,30250385,11
channel-0,4037077,30250385,30250394,9
channel-492,20110,30250397,30250406,9
channel-85077,59432,30250401,30250409,8
channel-208,1489582,30250411,30250420,9
channel-6994,1323150,30250413,30250447,34
channel-184,137386,30250419,30250427,8
channel-750,681595,30250424,30250434,10
channel-782,310073,30250437,30250444,7
channel-184,137387,30250443,30250455,12
channel-326,537511,30250447,30250453,6
channel-326,537512,30250454,30250460,6
channel-0,4037078,30250455,30250467,12
channel-6994,1323151,30250464,30250476,12
channel-184,137388,30250475,30250483,8
channel-326,537513,30250482,30250487,5
channel-6994,1323152,30250488,30250499,11
channel-326,537514,30250492,30250499,7
channel-782,310074,30250498,30250504,6
channel-6994,1323153,30250511,30250556,45
channel-6994,1323154,30250512,30250524,12
channel-6994,1323155,30250524,30250533,9
channel-1,408191,30250530,30250551,21
channel-6994,1323156,30250536,30250548,12
channel-6994,1323157,30250537,30250548,11
channel-750,681596,30250537,30250550,13
channel-85077,59433,30250555,30250565,10
channel-122,667678,30250557,30250559,2
channel-0,4037079,30250591,30250601,10
channel-85077,59434,30250598,30250607,9
channel-122,667679,30250603,30250607,4
channel-0,4037080,30250623,30250633,10
