channel_id,sequence,send_height,ack_height,block_delay
channel-750,679808,30159513,30159523,10
channel-0,4034838,30159540,30159550,10
channel-85077,58156,30159544,30159573,29
channel-5485,1697,30159546,30159557,11
channel-750,679809,30159568,30159572,4
channel-72,516332,30159575,30159608,33
channel-0,4034839,30159581,30159611,30
channel-143,128183,30159588,30159631,43
channel-208,1488792,30159593,30159603,10
channel-75,844274,30159610,30159617,7
channel-750,679810,30159612,30159626,14
channel-6994,1322062,30159631,30159643,12
channel-85077,58157,30159634,30159656,22
channel-85077,58158,30159663,30159689,26
channel-874,292127,30159689,30159696,7
channel-216,93975,30159704,30159709,5
channel-88,466945,30159730,30159761,31
channel-6994,1322063,30159731,30159744,13
channel-874,292128,30159757,30159763,6
channel-85077,58159,30159827,30159843,16
channel-85077,58160,30159847,30159876,29
channel-750,679811,30159857,30159873,16
channel-750,679812,30159857,30159873,16
channel-75,844275,30159857,30159865,8
channel-750,679813,30159860,30159873,13
channel-750,679814,30159860,30159864,4
channel-750,679815,30159867,30159881,14
channel-750,679816,30159879,30159893,14
channel-326,537068,30159879,30159899,20
channel-6994,1322064,30159893,30159902,9
channel-122,667294,30159893,30159898,5
channel-750,679817,30159903,30159916,13
channel-750,679818,30159904,30159909,5
channel-783,104097,30159908,30159917,9
channel-750,679819,30159943,30159949,6
channel-6994,1322065,30159948,30159958,10
channel-199,132306,30159949,30159961,12
channel-208,1488793,30159991,30160002,11
channel-20082,9844,30160001,30160013,12
channel-89321,19255,30160022,30160027,5
channel-5,184117,30160022,30160031,9
channel-1429,140603,30160024,30160036,12
channel-2494,31793,30160024,30160036,12
channel-0,4034840,30160030,30160040,10
channel-91017,2634,30160054,30160061,7
channel-750,679820,30160109,30160115,6
channel-165,71367,30160114,30160574,460
channel-216,93976,30160119,30160123,4
channel-72,516333,30160138,30160170,32
channel-750,679821,30160152,30160158,6
channel-6994,1322066,30160159,30160170,11
channel-750,679822,30160168,30160175,7
channel-85077,58161,30160180,30160206,26
channel-0,4034841,30160182,30160192,10
channel-750,679823,30160195,30160200,5
channel-0,4034842,30160195,30160221,26
channel-208,1488794,30160200,30160213,13
channel-0,4034843,30160201,30160211,10
channel-6994,1322067,30160209,30160219,10
channel-522,40379,30160222,30160231,9
channel-750,679824,30160227,30160232,5
channel-122,667295,30160227,30160230,3
channel-412,64351,30160236,30160245,9
channel-79703,4382,30160245,30160261,16
channel-522,40380,30160250,30160262,12
channel-750,679825,30160268,30160278,10
channel-122,667296,30160271,30160274,3
channel-412,64352,30160275,30160285,10
channel-750,679826,30160302,30160305,3
channel-522,40381,30160306,30160317,11
channel-750,679827,30160308,30160313,5
channel-750,679828,30160315,30160320,5
channel-75,844276,30160322,30160329,7
channel-326,537069,30160322,30160348,26
channel-750,679829,30160324,30160329,5
channel-0,4034844,30160328,30160340,12
channel-874,292129,30160328,30160334,6
channel-199,132307,30160330,30160339,9
channel-750,679830,30160330,30160334,4
channel-122,667297,30160336,30160390,54
channel-522,40382,30160343,30160354,11
channel-4,166703,30160347,30160369,22
channel-2188,43329,30160353,30160359,6
channel-91017,2635,30160359,30160369,10
channel-75,844277,30160361,30160368,7
channel-222,3823,30160366,30160375,9
channel-6994,1322068,30160371,30160379,8
channel-750,679831,30160381,30160387,6
channel-0,4034845,30160385,30160395,10
channel-750,679832,30160394,30160411,17
channel-208,1488795,30160396,30160405,9
channel-750,679833,30160411,30160416,5
channel-750,679834,30160418,30160423,5
channel-750,679835,30160434,30160440,6
channel-750,679836,30160436,30160441,5
channel-750,679837,30160442,30160451,9
channel-2,130532,30160445,30160457,12
channel-750,679838,30160447,30160451,4
channel-750,679839,30160449,30160454,5
channel-782,309986,30160461,30160465,4
channel-208,1488796,30160461,30160471,10
channel-750,679840,30160464,30160470,6
channel-208,1488797,30160467,30160479,12
channel-1,407885,30160474,30160482,8
channel-750,679841,30160477,30160483,6
channel-75,844278,30160499,30160506,7
channel-0,4034846,30160499,30160510,11
channel-1,407886,30160518,30160531,13
channel-750,679842,30160519,30160533,14
channel-208,1488798,30160549,30160561,12
channel-1,407887,30160556,30160573,17
channel-6994,1322069,30160556,30160568,12
channel-0,4034847,30160563,30160572,9
channel-208,1488799,30160578,30160593,15
channel-750,679843,30160602,30160607,5
channel-320,119066,30160604,30160616,12
channel-522,40383,30160615,30160627,12
channel-0,4034848,30160620,30160628,8
channel-320,119067,30160622,30160634,12
channel-0,4034849,30160628,30160635,7
channel-320,119068,30160666,30160679,13
channel-208,1488800,30160667,30160679,12
channel-85791,3673,30160670,30160676,6
channel-320,119069,30160672,30160682,10
channel-326,537070,30160672,30160695,23
channel-0,4034850,30160681,30160692,11
channel-320,119070,30160700,30160709,9
channel-320,119071,30160702,30160777,75
channel-85077,58162,30160707,30160725,18
channel-6994,1322070,30160715,30160751,36
channel-85077,58163,30160742,30160758,16
channel-750,679844,30160762,30160766,4
channel-208,1488801,30160785,30160802,17
channel-0,4034851,30160789,30160797,8
channel-6994,1322071,30160841,30160863,22
channel-6994,1322072,30160843,30160863,20
channel-1,407888,30160848,30160867,19
channel-782,309987,30160876,30160881,5
channel-522,40384,30160878,30160890,12
channel-6994,1322073,30160887,30160899,12
channel-522,40385,30160888,30160900,12
channel-750,679845,30160899,30160904,5
channel-122,667298,30160914,30160918,4
channel-750,679846,30160945,30160949,4
channel-122,667299,30160947,30160950,3
channel-522,40386,30160953,30160966,13
channel-750,679847,30160959,30160965,6
channel-75,844279,30161025,30161033,8
channel-522,40387,30161060,30161069,9
channel-85077,58164,30161082,30161102,20
channel-75,844280,30161083,30161092,9
channel-19774,345592,30161090,30161103,13
channel-2494,31794,30161101,30161117,16
channel-750,679848,30161104,30161117,13
channel-2188,43330,30161110,30161115,5
channel-85077,58165,30161120,30161138,18
channel-522,40388,30161125,30161138,13
channel-0,4034852,30161135,30161145,10
channel-88,466946,30161148,30161170,22
channel-0,4034853,30161153,30161164,11
channel-767,14334,30161159,30161168,9
channel-199,132308,30161166,30161174,8
channel-522,40389,30161183,30161200,17
channel-522,40390,30161194,30161204,10
channel-750,679849,30161201,30161204,3
channel-0,4034854,30161202,30161210,8
channel-0,4034855,30161206,30161215,9
channel-0,4034856,30161213,30161226,13
channel-750,679850,30161214,30161228,14
channel-750,679851,30161216,30161221,5
channel-750,679852,30161221,30161234,13
channel-750,679853,30161225,30161241,16
channel-750,679854,30161226,30161231,5
channel-522,40391,30161227,30161238,11
channel-750,679855,30161228,30161244,16
channel-5,184118,30161246,30161255,9
channel-0,4034857,30161252,30161262,10
channel-2188,43331,30161257,30161260,3
channel-750,679856,30161257,30161269,12
channel-750,679857,30161258,30161262,4
channel-750,679858,30161259,30161263,4
channel-750,679859,30161262,30161277,15
channel-143,128184,30161262,30161272,10
channel-750,679860,30161272,30161279,7
channel-750,679861,30161272,30161286,14
channel-750,679862,30161275,30161289,14
channel-750,679863,30161282,30161293,11
channel-750,679864,30161282,30161287,5
channel-750,679865,30161287,30161300,13
channel-750,679866,30161288,30161292,4
channel-75,844281,30161293,30161300,7
channel-750,679867,30161293,30161300,7
channel-0,4034858,30161294,30161306,12
channel-750,679868,30161295,30161309,14
channel-750,679869,30161299,30161311,12
channel-6994,1322074,30161300,30161337,37
channel-750,679870,30161307,30161322,15
channel-750,679871,30161309,30161323,14
channel-750,679872,30161310,30161323,13
channel-750,679873,30161311,30161315,4
channel-750,679874,30161315,30161331,16
channel-0,4034859,30161315,30161329,14
channel-208,1488802,30161318,30161329,11
channel-326,537071,30161324,30161332,8
channel-750,679875,30161325,30161329,4
channel-750,679876,30161329,30161343,14
channel-94814,3653,30161329,30161339,10
channel-750,679877,30161329,30161334,5
channel-750,679878,30161330,30161343,13
channel-75,844282,30161330,30161339,9
channel-85077,58166,30161336,30161383,47
channel-750,679879,30161339,30161352,13
channel-326,537072,30161344,30161363,19
channel-0,4034860,30161345,30161358,13
channel-750,679880,30161347,30161352,5
channel-750,679881,30161348,30161361,13
channel-750,679882,30161348,30161353,5
channel-85186,848,30161352,30161363,11
channel-750,679883,30161352,30161366,14
channel-750,679884,30161356,30161361,5
channel-750,679885,30161359,30161370,11
channel-750,679886,30161360,30161376,16
channel-85077,58167,30161362,30161383,21
channel-750,679887,30161364,30161376,12
channel-750,679888,30161366,30161378,12
channel-42,1489728,30161367,30161378,11
channel-75,844283,30161367,30161373,6
channel-6994,1322075,30161383,30161395,12
channel-0,4034861,30161388,30161397,9
channel-750,679889,30161389,30161398,9
channel-750,679890,30161394,30161399,5
channel-85186,849,30161395,30161409,14
channel-42,1489729,30161406,30161414,8
channel-750,679891,30161416,30161421,5
channel-750,679892,30161418,30161424,6
channel-0,4034862,30161428,30161434,6
