channel_id,sequence,send_height,send_time,ack_height,ack_time,block_delay,time_delay_sec,fee_amount,fee_denom,send_tx_hash,ack_tx_hash
channel-0,4036564,30230003,2025-02-24T01:30:47.732234,30230015.0,2025-02-24T01:31:03.104789,12.0,15.372555,,,,
channel-1,408148,30230011,2025-02-24T01:30:57.869012,30230027.0,2025-02-24T01:31:17.410665,16.0,19.541653,,,,
channel-229,54999,30230030,2025-02-24T01:31:21.213545,30230038.0,2025-02-24T01:31:36.468154,8.0,15.254609,,,,
channel-750,681310,30230032,2025-02-24T01:31:24.671925,30230041.0,2025-02-24T01:31:40.080355,9.0,15.40843,,,,
channel-874,292408,30230034,2025-02-24T01:31:30.511939,30230039.0,2025-02-24T01:31:37.666457,5.0,7.154518,,,,
channel-874,292409,30230041,2025-02-24T01:31:40.080355,30230046.0,2025-02-24T01:31:46.140023,5.0,6.059668,,,,
channel-188,190519,30230041,2025-02-24T01:31:40.080355,30230056.0,2025-02-24T01:32:02.812494,15.0,22.732139,,,,
channel-42,1489902,30230043,2025-02-24T01:31:42.241566,30230050.0,2025-02-24T01:31:51.359861,7.0,9.118295,,,,
channel-6994,1322802,30230044,2025-02-24T01:31:43.475328,30230069.0,2025-02-24T01:32:18.520535,25.0,35.045207,,,,
channel-0,4036565,30230044,2025-02-24T01:31:43.475328,30230067.0,2025-02-24T01:32:15.971798,23.0,32.49647,,,,
channel-75,844703,30230044,2025-02-24T01:31:43.475328,30230050.0,2025-02-24T01:31:51.359861,6.0,7.884533,,,,
channel-6994,1322803,30230045,2025-02-24T01:31:44.624094,30230058.0,2025-02-24T01:32:05.223037,13.0,20.598943,,,,
channel-642,126480,30230048,2025-02-24T01:31:49.010078,30230084.0,2025-02-24T01:32:42.284593,36.0,53.274515,,,,
channel-2494,31861,30230050,2025-02-24T01:31:51.359861,30230057.0,2025-02-24T01:32:04.024136,7.0,12.664275,,,,
channel-2188,43477,30230056,2025-02-24T01:32:02.812494,30230061.0,2025-02-24T01:32:08.842812,5.0,6.030318,,,,
channel-341,3385,30230061,2025-02-24T01:32:08.842812,30230070.0,2025-02-24T01:32:19.771208,9.0,10.928396,,,,
channel-85077,59212,30230062,2025-02-24T01:32:10.099494,30230084.0,2025-02-24T01:32:42.284593,22.0,32.185099,,,,
channel-874,292410,30230070,2025-02-24T01:32:19.771208,30230078.0,2025-02-24T01:32:30.402812,8.0,10.631604,,,,
channel-874,292411,30230070,2025-02-24T01:32:19.771208,30230078.0,2025-02-24T01:32:30.402812,8.0,10.631604,,,,
channel-326,537434,30230071,2025-02-24T01:32:20.902076,30230089.0,2025-02-24T01:32:50.260195,18.0,29.358119,,,,
channel-79703,4402,30230074,2025-02-24T01:32:25.448199,,,,,,,,
channel-522,40414,30230076,2025-02-24T01:32:27.928546,30230084.0,2025-02-24T01:32:42.284593,8.0,14.356047,,,,
channel-199,132538,30230078,2025-02-24T01:32:30.402812,30230092.0,2025-02-24T01:32:53.868967,14.0,23.466155,,,,
channel-0,4036566,30230082,2025-02-24T01:32:39.760324,30230100.0,2025-02-24T01:33:04.539085,18.0,24.778761,,,,
channel-42,1489903,30230086,2025-02-24T01:32:45.623955,30230092.0,2025-02-24T01:32:53.868967,6.0,8.245012,,,,
channel-91017,2728,30230090,2025-02-24T01:32:51.553049,30230099.0,2025-02-24T01:33:03.329792,9.0,11.776743,,,,
channel-0,4036567,30230102,2025-02-24T01:33:07.052552,30230115.0,2025-02-24T01:33:22.942040,13.0,15.889488,,,,
channel-6994,1322804,30230108,2025-02-24T01:33:13.788550,30230210.0,2025-02-24T01:35:32.983805,102.0,139.195255,,,,
channel-750,681311,30230111,2025-02-24T01:33:17.420397,30230121.0,2025-02-24T01:33:30.207881,10.0,12.787484,,,,
channel-0,4036568,30230111,2025-02-24T01:33:17.420397,30230121.0,2025-02-24T01:33:30.207881,10.0,12.787484,,,,
channel-122,667589,30230111,2025-02-24T01:33:17.420397,30230115.0,2025-02-24T01:33:22.942040,4.0,5.521643,,,,
channel-8,43447,30230113,2025-02-24T01:33:20.649968,30230147.0,2025-02-24T01:34:05.306491,34.0,44.656523,,,,
channel-94814,3710,30230132,2025-02-24T01:33:44.066914,30230143.0,2025-02-24T01:34:00.149798,11.0,16.082884,,,,
channel-2188,43478,30230138,2025-02-24T01:33:52.197488,30230142.0,2025-02-24T01:33:59.035106,4.0,6.837618,,,,
channel-6994,1322805,30230138,2025-02-24T01:33:52.197488,30230149.0,2025-02-24T01:34:07.707270,11.0,15.509782,,,,
channel-0,4036569,30230153,2025-02-24T01:34:13.472950,30230164.0,2025-02-24T01:34:30.456420,11.0,16.98347,,,,
channel-874,292412,30230155,2025-02-24T01:34:18.926400,30230164.0,2025-02-24T01:34:30.456420,9.0,11.53002,,,,
channel-259,314182,30230160,2025-02-24T01:34:24.896851,30230168.0,2025-02-24T01:34:36.275825,8.0,11.378974,,,,
channel-75,844704,30230161,2025-02-24T01:34:26.032208,30230169.0,2025-02-24T01:34:37.430137,8.0,11.397929,,,,
channel-42,1489904,30230161,2025-02-24T01:34:26.032208,30230169.0,2025-02-24T01:34:37.430137,8.0,11.397929,,,,
channel-750,681312,30230162,2025-02-24T01:34:27.176789,30230172.0,2025-02-24T01:34:40.910619,10.0,13.73383,,,,
channel-522,40415,30230169,2025-02-24T01:34:37.430137,30230183.0,2025-02-24T01:34:56.118079,14.0,18.687942,,,,
channel-750,681313,30230172,2025-02-24T01:34:40.910619,30230176.0,2025-02-24T01:34:47.429017,4.0,6.518398,,,,
channel-750,681314,30230186,2025-02-24T01:35:00.682591,30230196.0,2025-02-24T01:35:14.370744,10.0,13.688153,,,,
channel-2188,43479,30230212,2025-02-24T01:35:35.827197,30230217.0,2025-02-24T01:35:41.846640,5.0,6.019443,,,,
channel-208,1489452,30230212,2025-02-24T01:35:35.827197,30230223.0,2025-02-24T01:35:48.924047,11.0,13.09685,,,,
channel-750,681315,30230219,2025-02-24T01:35:44.136844,30230224.0,2025-02-24T01:35:50.104183,5.0,5.967339,,,,
channel-2188,43480,30230235,2025-02-24T01:36:08.584841,30230239.0,2025-02-24T01:36:13.112129,4.0,4.527288,,,,
channel-184,137353,30230246,2025-02-24T01:36:21.255709,30230254.0,2025-02-24T01:36:31.673123,8.0,10.417414,,,,
channel-874,292413,30230258,2025-02-24T01:36:37.350514,30230267.0,2025-02-24T01:36:48.563331,9.0,11.212817,,,,
channel-874,292414,30230267,2025-02-24T01:36:48.563331,30230282.0,2025-02-24T01:37:11.388815,15.0,22.825484,,,,
channel-0,4036570,30230270,2025-02-24T01:36:55.496627,30230279.0,2025-02-24T01:37:06.398916,9.0,10.902289,,,,
channel-208,1489453,30230282,2025-02-24T01:37:11.388815,30230294.0,2025-02-24T01:37:28.409274,12.0,17.020459,,,,
channel-113,301267,30230284,2025-02-24T01:37:16.861708,30230297.0,2025-02-24T01:37:31.872793,13.0,15.011085,,,,
