channel_id,sequence,send_height,ack_height,block_delay,send_time,ack_time,time_delay_sec
channel-208,1488457,30116006,30116014,8,2025-02-22 07:58:38.566267,2025-02-22 07:58:50.606995,12.040728
channel-79703,4363,30116010,30116031,21,2025-02-22 07:58:46.299791,2025-02-22 07:59:12.135053,25.835262
channel-208,1488458,30116020,30116034,14,2025-02-22 07:58:58.223017,2025-02-22 07:59:15.557684,17.334667
channel-122,666979,30116027,30116031,4,2025-02-22 07:59:07.483733,2025-02-22 07:59:12.135053,4.65132
channel-0,4033735,30116030,30116037,7,2025-02-22 07:59:10.825500,2025-02-22 07:59:19.992756,9.167256
channel-6994,1321268,30116031,30116046,15,2025-02-22 07:59:12.135053,2025-02-22 07:59:30.228530,18.093477
channel-0,4033736,30116034,30116045,11,2025-02-22 07:59:15.557684,2025-02-22 07:59:29.106986,13.549302
channel-122,666980,30116038,30116042,4,2025-02-22 07:59:21.129826,2025-02-22 07:59:25.702978,4.573152
channel-75,843614,30116045,30116053,8,2025-02-22 07:59:29.106986,2025-02-22 07:59:40.042578,10.935592
channel-15464,2642,30116052,30116076,24,2025-02-22 07:59:37.751978,2025-02-22 08:00:15.502745,37.750767
channel-750,678871,30116053,30116073,20,2025-02-22 07:59:40.042578,2025-02-22 08:00:07.814912,27.772334
channel-750,678872,30116054,30116063,9,2025-02-22 07:59:41.202156,2025-02-22 07:59:53.798661,12.596505
channel-15464,2643,30116054,30116077,23,2025-02-22 07:59:41.202156,2025-02-22 08:00:16.726942,35.524786
channel-199,132224,30116060,30116070,10,2025-02-22 07:59:50.481340,2025-02-22 08:00:03.035262,12.553922
channel-750,678873,30116076,30116081,5,2025-02-22 08:00:15.502745,2025-02-22 08:00:22.123503,6.620758
channel-0,4033737,30116077,30116089,12,2025-02-22 08:00:16.726942,2025-02-22 08:00:31.209820,14.482878
channel-208,1488459,30116083,30116093,10,2025-02-22 08:00:24.301647,2025-02-22 08:00:35.946337,11.64469
channel-750,678874,30116089,30116094,5,2025-02-22 08:00:31.209820,2025-02-22 08:00:37.024847,5.815027
channel-6994,1321269,30116090,30116102,12,2025-02-22 08:00:32.429286,2025-02-22 08:00:46.027590,13.598304
channel-122,666981,30116094,30116098,4,2025-02-22 08:00:37.024847,2025-02-22 08:00:41.388466,4.363619
channel-208,1488460,30116106,30116116,10,2025-02-22 08:00:50.568795,2025-02-22 08:01:03.763116,13.194321
channel-122,666982,30116106,30116109,3,2025-02-22 08:00:50.568795,2025-02-22 08:00:54.169843,3.601048
