channel_id,sequence,send_height,ack_height,block_delay,send_time,ack_time,time_delay_sec
channel-122,667294,30159893,30159898,5,2025-02-22 23:51:22.761176,2025-02-22 23:51:28.325809,5.564633
channel-122,667295,30160227,30160230,3,2025-02-22 23:58:35.658687,2025-02-22 23:58:40.355731,4.697044
channel-122,667296,30160271,30160274,3,2025-02-22 23:59:34.353386,2025-02-22 23:59:37.764054,3.410668
channel-122,667297,30160336,30160390,54,2025-02-23 00:00:58.871337,2025-02-23 00:02:10.024512,71.153175
channel-122,667298,30160914,30160918,4,2025-02-23 00:13:21.798207,2025-02-23 00:13:26.692922,4.894715
channel-122,667299,30160947,30160950,3,2025-02-23 00:14:04.172981,2025-02-23 00:14:08.614087,4.441106
channel-122,667300,30162099,30162102,3,2025-02-23 00:39:01.197929,2025-02-23 00:39:05.027391,3.829462
channel-122,667301,30162677,30162681,4,2025-02-23 00:51:35.350510,2025-02-23 00:51:39.869961,4.519451
channel-122,667302,30163918,30163922,4,2025-02-23 01:18:21.197538,2025-02-23 01:18:25.790768,4.59323
channel-122,667303,30163947,30163950,3,2025-02-23 01:18:58.497376,2025-02-23 01:19:03.004737,4.507361
channel-122,667304,30164981,30164986,5,2025-02-23 01:41:12.309885,2025-02-23 01:41:18.193154,5.883269
channel-122,667305,30165368,30165371,3,2025-02-23 01:49:30.085747,2025-02-23 01:49:33.442674,3.356927
channel-122,667306,30165954,30165957,3,2025-02-23 02:02:04.604984,2025-02-23 02:02:08.129120,3.524136
channel-122,667307,30166149,30166153,4,2025-02-23 02:06:14.530741,2025-02-23 02:06:18.824784,4.294043
channel-122,667308,30166309,30166312,3,2025-02-23 02:09:44.224731,2025-02-23 02:09:49.213431,4.9887
channel-122,667309,30166534,30166538,4,2025-02-23 02:14:33.003051,2025-02-23 02:14:41.922503,8.919452
channel-122,667310,30166846,30166849,3,2025-02-23 02:21:13.248169,2025-02-23 02:21:18.276411,5.028242
channel-122,667311,30166851,30166854,3,2025-02-23 02:21:20.505908,2025-02-23 02:21:23.906265,3.400357
channel-122,667312,30167288,30167291,3,2025-02-23 02:30:47.711141,2025-02-23 02:30:50.992594,3.281453
channel-122,667313,30167345,30167348,3,2025-02-23 02:31:59.771184,2025-02-23 02:32:03.813844,4.04266
channel-122,667314,30167760,30167763,3,2025-02-23 02:41:01.035505,2025-02-23 02:41:05.484354,4.448849
channel-122,667315,30168004,30168008,4,2025-02-23 02:46:14.627318,2025-02-23 02:46:20.738153,6.110835
channel-122,667316,30168074,30168078,4,2025-02-23 02:47:48.342413,2025-02-23 02:47:52.761772,4.419359
channel-122,667317,30168688,30168692,4,2025-02-23 03:01:06.612091,2025-02-23 03:01:10.984733,4.372642
channel-122,667318,30169172,30169176,4,2025-02-23 03:11:32.375309,2025-02-23 03:11:36.971748,4.596439
channel-122,667319,30169739,30169742,3,2025-02-23 03:23:50.570442,2025-02-23 03:23:54.125513,3.555071
channel-122,667320,30170013,30170017,4,2025-02-23 03:29:45.274658,2025-02-23 03:29:49.700015,4.425357
channel-122,667321,30170124,30170127,3,2025-02-23 03:32:13.431048,2025-02-23 03:32:16.760282,3.329234
channel-122,667322,30170877,30170881,4,2025-02-23 03:48:27.241701,2025-02-23 03:48:32.343191,5.10149
channel-122,667323,30171204,30171208,4,2025-02-23 03:55:27.940648,2025-02-23 03:55:34.169339,6.228691
channel-122,667324,30171668,30171672,4,2025-02-23 04:05:24.527463,2025-02-23 04:05:28.863372,4.335909
channel-122,667325,30171806,30171810,4,2025-02-23 04:08:19.138955,2025-02-23 04:08:25.053334,5.914379
channel-122,667326,30172327,30172331,4,2025-02-23 04:19:35.701723,2025-02-23 04:19:40.234829,4.533106
channel-122,667327,30172336,30172339,3,2025-02-23 04:19:52.291358,2025-02-23 04:19:55.927161,3.635803
channel-122,667328,30172939,30172943,4,2025-02-23 04:32:50.717253,2025-02-23 04:32:56.746063,6.02881
channel-122,667329,30174152,30174156,4,2025-02-23 04:58:54.208286,2025-02-23 04:59:00.245814,6.037528
channel-122,667330,30174643,30174646,3,2025-02-23 05:09:27.095753,2025-02-23 05:09:30.787929,3.692176
channel-122,667331,30176282,30176285,3,2025-02-23 05:44:48.692728,2025-02-23 05:44:52.072844,3.380116
channel-122,667332,30176964,30176967,3,2025-02-23 05:59:32.696288,2025-02-23 05:59:37.197252,4.500964
channel-122,667333,30177011,30177025,14,2025-02-23 06:00:38.193576,2025-02-23 06:00:55.702286,17.50871
channel-122,667334,30177253,30177256,3,2025-02-23 06:05:47.281259,2025-02-23 06:05:52.220710,4.939451
channel-122,667335,30177866,30177868,2,2025-02-23 06:19:03.469931,2025-02-23 06:19:05.934580,2.464649
channel-122,667336,30177963,30177967,4,2025-02-23 06:21:09.843684,2025-02-23 06:21:14.487542,4.643858
channel-122,667337,30179045,30179047,2,2025-02-23 06:44:25.777690,2025-02-23 06:44:29.078664,3.300974
channel-122,667338,30179095,30179099,4,2025-02-23 06:45:32.175568,2025-02-23 06:45:36.812935,4.637367
channel-122,667339,30179173,30179177,4,2025-02-23 06:47:15.579415,2025-02-23 06:47:20.337069,4.757654
channel-122,667340,30179183,30179187,4,2025-02-23 06:47:27.226279,2025-02-23 06:47:32.812659,5.58638
channel-122,667341,30179212,30179215,3,2025-02-23 06:48:02.938292,2025-02-23 06:48:06.316870,3.378578
channel-122,667342,30179494,30179497,3,2025-02-23 06:54:15.766292,2025-02-23 06:54:19.281774,3.515482
channel-122,667343,30179868,30179872,4,2025-02-23 07:02:27.822640,2025-02-23 07:02:35.586907,7.764267
channel-122,667344,30179877,30179881,4,2025-02-23 07:02:42.249448,2025-02-23 07:02:46.846766,4.597318
channel-122,667345,30179954,30179974,20,2025-02-23 07:04:20.840714,2025-02-23 07:04:45.862034,25.02132
channel-122,667346,30180036,30180040,4,2025-02-23 07:06:09.340720,2025-02-23 07:06:14.175877,4.835157
channel-122,667347,30180490,30180494,4,2025-02-23 07:16:10.171851,2025-02-23 07:16:14.795678,4.623827
channel-122,667348,30180510,30180513,3,2025-02-23 07:16:39.566083,2025-02-23 07:16:43.761548,4.195465
channel-122,667349,30180547,30180550,3,2025-02-23 07:17:27.626718,2025-02-23 07:17:31.369705,3.742987
channel-122,667350,30181482,30181485,3,2025-02-23 07:38:10.111419,2025-02-23 07:38:13.473187,3.361768
channel-122,667351,30181708,30181712,4,2025-02-23 07:43:07.846947,2025-02-23 07:43:13.510413,5.663466
channel-122,667352,30181794,30181799,5,2025-02-23 07:45:02.664474,2025-02-23 07:45:09.427929,6.763455
channel-122,667353,30181925,30181929,4,2025-02-23 07:47:47.302942,2025-02-23 07:47:51.919402,4.61646
channel-122,667354,30182021,30182025,4,2025-02-23 07:49:51.146041,2025-02-23 07:49:56.013520,4.867479
channel-122,667355,30182023,30182025,2,2025-02-23 07:49:53.497473,2025-02-23 07:49:56.013520,2.516047
channel-122,667356,30182226,30182229,3,2025-02-23 07:54:21.934635,2025-02-23 07:54:25.528010,3.593375
channel-122,667357,30182428,30182431,3,2025-02-23 07:58:48.130545,2025-02-23 07:58:51.921548,3.791003
channel-122,667358,30183091,30183095,4,2025-02-23 08:13:06.749722,2025-02-23 08:13:11.358204,4.608482
channel-122,667359,30183425,30183428,3,2025-02-23 08:20:26.720834,2025-02-23 08:20:31.297273,4.576439
channel-122,667360,30183796,30183800,4,2025-02-23 08:28:24.229704,2025-02-23 08:28:29.828686,5.598982
channel-122,667361,30183932,30183936,4,2025-02-23 08:31:21.955484,2025-02-23 08:31:26.508242,4.552758
channel-122,667362,30184333,30184337,4,2025-02-23 08:40:04.436647,2025-02-23 08:40:09.008477,4.57183
channel-122,667363,30184502,30184506,4,2025-02-23 08:43:42.572616,2025-02-23 08:43:47.154851,4.582235
channel-122,667364,30184513,30184516,3,2025-02-23 08:43:55.737361,2025-02-23 08:44:00.245824,4.508463
channel-122,667365,30186193,30186197,4,2025-02-23 09:20:12.688996,2025-02-23 09:20:17.486640,4.797644
channel-122,667366,30186455,30186458,3,2025-02-23 09:25:49.377630,2025-02-23 09:25:54.103873,4.726243
channel-122,667367,30187008,30187011,3,2025-02-23 09:37:58.046563,2025-02-23 09:38:01.628598,3.582035
channel-122,667368,30187425,30187428,3,2025-02-23 09:46:58.410630,2025-02-23 09:47:03.987497,5.576867
channel-122,667369,30187801,30187805,4,2025-02-23 09:55:03.757436,2025-02-23 09:55:08.599863,4.842427
channel-122,667370,30187868,30187872,4,2025-02-23 09:56:30.989942,2025-02-23 09:56:36.202639,5.212697
channel-122,667371,30188090,30188094,4,2025-02-23 10:01:17.383236,2025-02-23 10:01:21.981353,4.598117
channel-122,667372,30188585,30188589,4,2025-02-23 10:11:51.885374,2025-02-23 10:11:58.865435,6.980061
channel-122,667373,30188660,30188663,3,2025-02-23 10:13:30.413885,2025-02-23 10:13:34.084760,3.670875
channel-122,667374,30188771,30188775,4,2025-02-23 10:15:51.677456,2025-02-23 10:15:57.870244,6.192788
channel-122,667375,30188979,30188982,3,2025-02-23 10:20:19.846543,2025-02-23 10:20:23.222180,3.375637
channel-122,667376,30188981,30188985,4,2025-02-23 10:20:22.000770,2025-02-23 10:20:26.628073,4.627303
channel-122,667377,30188996,30189000,4,2025-02-23 10:20:41.092371,2025-02-23 10:20:49.968999,8.876628
channel-122,667378,30189158,30189162,4,2025-02-23 10:24:11.837166,2025-02-23 10:24:16.268138,4.430972
channel-122,667379,30190003,30190006,3,2025-02-23 10:42:30.322734,2025-02-23 10:42:35.252172,4.929438
channel-122,667380,30190214,30190217,3,2025-02-23 10:47:04.888068,2025-02-23 10:47:08.556638,3.66857
channel-122,667381,30190268,30190272,4,2025-02-23 10:48:18.640849,2025-02-23 10:48:23.233807,4.592958
channel-122,667382,30190301,30190304,3,2025-02-23 10:49:01.260497,2025-02-23 10:49:04.745815,3.485318
channel-122,667383,30190384,30190387,3,2025-02-23 10:50:47.834714,2025-02-23 10:50:51.083786,3.249072
channel-122,667384,30190492,30190496,4,2025-02-23 10:53:08.091511,2025-02-23 10:53:12.868271,4.77676
