channel_id,sequence,send_height,ack_height,block_delay,send_time,ack_time,time_delay_sec
channel-782,310145,30280004,30280010,6,2025-02-24 20:01:01.487101,2025-02-24 20:01:08.774031,7.28693
channel-6994,1324104,30280013,30280025,12,2025-02-24 20:01:12.743359,2025-02-24 20:01:26.182512,13.439153
channel-89298,18642,30280015,30280025,10,2025-02-24 20:01:15.237610,2025-02-24 20:01:26.182512,10.944902
channel-6787,166672,30280019,30280023,4,2025-02-24 20:01:19.675642,2025-02-24 20:01:24.067635,4.391993
channel-750,682273,30280025,30280029,4,2025-02-24 20:01:26.182512,2025-02-24 20:01:31.413946,5.231434
channel-782,310146,30280026,30280033,7,2025-02-24 20:01:27.380513,2025-02-24 20:01:36.005041,8.624528
channel-75,844950,30280033,30280038,5,2025-02-24 20:01:36.005041,2025-02-24 20:01:42.545394,6.540353
channel-750,682274,30280037,30280049,12,2025-02-24 20:01:41.245720,2025-02-24 20:02:00.832210,19.58649
channel-1,408298,30280042,30280074,32,2025-02-24 20:01:50.266910,2025-02-24 20:02:35.318376,45.051466
channel-750,682275,30280042,30280058,16,2025-02-24 20:01:50.266910,2025-02-24 20:02:15.878692,25.611782
channel-750,682276,30280045,30280058,13,2025-02-24 20:01:55.176266,2025-02-24 20:02:15.878692,20.702426
channel-85077,59888,30280054,30280062,8,2025-02-24 20:02:06.558575,2025-02-24 20:02:21.281227,14.722652
channel-216,94185,30280059,30280193,134,2025-02-24 20:02:17.238743,2025-02-24 20:05:11.496855,174.258112
channel-85077,59889,30280060,30280084,24,2025-02-24 20:02:18.833671,2025-02-24 20:02:48.759447,29.925776
channel-6994,1324105,30280063,30280073,10,2025-02-24 20:02:22.436137,2025-02-24 20:02:33.945087,11.50895
channel-216,94186,30280068,30280193,125,2025-02-24 20:02:28.204353,2025-02-24 20:05:11.496855,163.292502
channel-75,844951,30280072,30280080,8,2025-02-24 20:02:32.787620,2025-02-24 20:02:43.739211,10.951591
channel-199,132696,30280076,30280087,11,2025-02-24 20:02:37.477042,2025-02-24 20:02:52.313778,14.836736
channel-6787,166673,30280077,30280082,5,2025-02-24 20:02:38.661645,2025-02-24 20:02:46.233122,7.571477
channel-85077,59890,30280079,30280089,10,2025-02-24 20:02:42.576099,2025-02-24 20:02:55.649426,13.073327
