channel_id,sequence,send_height,send_time,ack_height,ack_time,block_delay,time_delay_sec,fee_amount,fee_denom,send_tx_hash,ack_tx_hash
channel-10,167315,19333016,2025-01-26T15:12:25.817679,19333020,2025-01-26T15:12:33.180090,4,7.362411,,,,
channel-10,167316,19333026,2025-01-26T15:12:46.464993,19333029,2025-01-26T15:12:56.507023,3,10.04203,,,,
channel-35,1008364,19333052,2025-01-26T15:13:57.710240,19333059,2025-01-26T15:14:12.198783,7,14.488543,,,,
channel-1,152186,19333108,2025-01-26T15:16:14.555524,19333115,2025-01-26T15:16:30.251675,7,15.696151,,,,
channel-35,1008365,19333147,2025-01-26T15:18:02.014974,19333155,2025-01-26T15:18:17.876832,8,15.861858,,,,
channel-10,167317,19333150,2025-01-26T15:18:07.662040,19333153,2025-01-26T15:18:13.249481,3,5.587441,,,,
channel-35,1008366,19333152,2025-01-26T15:18:11.412689,19333161,2025-01-26T15:18:29.272214,9,17.859525,,,,
channel-30,59135,19333152,2025-01-26T15:18:11.412689,19333155,2025-01-26T15:18:17.876832,3,6.464143,,,,
channel-10,167318,19333162,2025-01-26T15:18:31.136143,19333164,2025-01-26T15:18:35.976944,2,4.840801,,,,
channel-35,1008367,19333167,2025-01-26T15:18:46.368603,19333174,2025-01-26T15:19:00.749486,7,14.380883,,,,
channel-35,1008368,19333183,2025-01-26T15:19:20.441225,19333189,2025-01-26T15:19:31.580074,6,11.138849,,,,
channel-35,1008369,19333185,2025-01-26T15:19:23.892842,19333190,2025-01-26T15:19:34.798039,5,10.905197,,,,
channel-35,1008370,19333190,2025-01-26T15:19:34.798039,19333197,2025-01-26T15:19:53.467184,7,18.669145,,,,
channel-30,59136,19333191,2025-01-26T15:19:41.314361,19333195,2025-01-26T15:19:49.425367,4,8.111006,,,,
channel-35,1008371,19333198,2025-01-26T15:20:00.181198,19333203,2025-01-26T15:20:10.014506,5,9.833308,,,,
channel-35,1008372,19333248,2025-01-26T15:22:05.555545,19333257,2025-01-26T15:22:23.694543,9,18.138998,,,,
channel-35,1008373,19333248,2025-01-26T15:22:05.555545,19333263,2025-01-26T15:22:35.703799,15,30.148254,,,,
channel-1,152187,19333257,2025-01-26T15:22:23.694543,19333274,2025-01-26T15:22:59.540513,17,35.84597,,,,
channel-35,1008374,19333272,2025-01-26T15:22:54.580704,19333278,2025-01-26T15:23:11.486900,6,16.906196,,,,
channel-35,1008375,19333307,2025-01-26T15:24:15.357654,19333318,2025-01-26T15:24:45.469838,11,30.112184,,,,
channel-35,1008376,19333316,2025-01-26T15:24:36.824547,19333323,2025-01-26T15:24:54.978012,7,18.153465,,,,
channel-35,1008377,19333349,2025-01-26T15:25:56.237420,19333357,2025-01-26T15:26:17.091008,8,20.853588,,,,
channel-30,59137,19333349,2025-01-26T15:25:56.237420,19333352,2025-01-26T15:26:06.617095,3,10.379675,,,,
channel-35,1008378,19333352,2025-01-26T15:26:06.617095,19333359,2025-01-26T15:26:21.706152,7,15.089057,,,,
channel-10,167319,19333374,2025-01-26T15:26:56.767169,19333378,2025-01-26T15:27:04.014097,4,7.246928,,,,
channel-35,1008379,19333378,2025-01-26T15:27:04.014097,19333385,2025-01-26T15:27:19.179935,7,15.165838,,,,
channel-1,152188,19333408,2025-01-26T15:28:18.178120,19333422,2025-01-26T15:28:52.488671,14,34.310551,,,,
channel-35,1008380,19333412,2025-01-26T15:28:25.956325,19333419,2025-01-26T15:28:41.310333,7,15.354008,,,,
channel-35,1008381,19333419,2025-01-26T15:28:41.310333,19333427,2025-01-26T15:29:02.128941,8,20.818608,,,,
channel-35,1008382,19333420,2025-01-26T15:28:44.123388,19333427,2025-01-26T15:29:02.128941,7,18.005553,,,,
channel-1,152189,19333430,2025-01-26T15:29:13.657926,19333438,2025-01-26T15:29:34.875251,8,21.217325,,,,
channel-35,1008383,19333432,2025-01-26T15:29:23.380705,19333438,2025-01-26T15:29:34.875251,6,11.494546,,,,
channel-10,167320,19333441,2025-01-26T15:29:42.028756,19333445,2025-01-26T15:29:49.397484,4,7.368728,,,,
channel-10,167321,19333471,2025-01-26T15:31:02.056518,19333474,2025-01-26T15:31:07.668171,3,5.611653,,,,
channel-10,167322,19333473,2025-01-26T15:31:05.901213,19333476,2025-01-26T15:31:16.557035,3,10.655822,,,,
channel-1,152190,19333475,2025-01-26T15:31:14.469637,19333484,2025-01-26T15:31:32.026131,9,17.556494,,,,
channel-10,167323,19333484,2025-01-26T15:31:32.026131,19333488,2025-01-26T15:31:39.496834,4,7.470703,,,,
