channel_id,sequence,send_height,send_time,ack_height,ack_time,block_delay,time_delay_sec,fee_amount,fee_denom,send_tx_hash,ack_tx_hash,src_channel,dst_channel,sender,receiver,token_amount,token_denom,ack_success
channel-1,152186,19333108,2025-01-26T15:16:14.555524,19333115.0,2025-01-26T15:16:30.251675,7.0,15.696151,,,,,channel-1,channel-569,,,,,False
channel-35,1008365,19333147,2025-01-26T15:18:02.014974,19333155.0,2025-01-26T15:18:17.876832,8.0,15.861858,,,,,channel-35,channel-8,,,,,False
channel-10,167317,19333150,2025-01-26T15:18:07.662040,19333153.0,2025-01-26T15:18:13.249481,3.0,5.587441,,,,,channel-10,channel-874,,,,,False
channel-35,1008366,19333152,2025-01-26T15:18:11.412689,19333161.0,2025-01-26T15:18:29.272214,9.0,17.859525,,,,,channel-35,channel-8,,,,,False
channel-30,59135,19333152,2025-01-26T15:18:11.412689,19333155.0,2025-01-26T15:18:17.876832,3.0,6.464143,,,,,channel-30,channel-18,,,,,False
channel-10,167318,19333162,2025-01-26T15:18:31.136143,19333164.0,2025-01-26T15:18:35.976944,2.0,4.840801,,,,,channel-10,channel-874,,,,,False
channel-35,1008367,19333167,2025-01-26T15:18:46.368603,19333174.0,2025-01-26T15:19:00.749486,7.0,14.380883,,,,,channel-35,channel-8,,,,,False
channel-35,1008368,19333183,2025-01-26T15:19:20.441225,19333189.0,2025-01-26T15:19:31.580074,6.0,11.138849,,,,,channel-35,channel-8,,,,,False
channel-35,1008369,19333185,2025-01-26T15:19:23.892842,19333190.0,2025-01-26T15:19:34.798039,5.0,10.905197,,,,,channel-35,channel-8,,,,,False
channel-35,1008370,19333190,2025-01-26T15:19:34.798039,19333197.0,2025-01-26T15:19:53.467184,7.0,18.669145,,,,,channel-35,channel-8,,,,,False
channel-30,59136,19333191,2025-01-26T15:19:41.314361,19333195.0,2025-01-26T15:19:49.425367,4.0,8.111006,,,,,channel-30,channel-18,,,,,False
channel-35,1008371,19333198,2025-01-26T15:20:00.181198,,,,,,,,,channel-35,channel-8,,,,,
